"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AP2A1",2053.9460915201,-0.33185915586721,0.120493912278673,-2.75415703242916,0.00588435272457599,0.0389136828658132
"AP5M1",1291.65474883428,0.603673927840582,0.197268310291051,3.06016676956333,0.00221213775756801,0.0202445667519682
"APC",6696.73519416511,0.3057994704677,0.111803196429846,2.73515856641524,0.00623502328129561,0.0404906747077349
"APOBEC3F",626.289418501759,0.769932954938024,0.232914137083219,3.30565144984279,0.000947558795508756,0.0113549724944061
"ARF1",730.609655477954,-0.648849988263284,0.217623063346576,-2.98153136108537,0.0028681066922547,0.024018880833133
"ARFGEF1",6544.48272032502,0.274945512736096,0.0970894643230136,2.83187794528726,0.0046275509053386,0.0331721233747026
"ARG1",174.607500175529,1.62438913539296,0.450381183712963,3.60669849037968,0.000310117653642121,0.00536388682410632
"ARHGAP12",1401.05461124222,0.309944280448568,0.112368984698384,2.75827250090857,0.00581077360117053,0.0385716819562649
"ARHGAP20",89.0208196686244,1.09089718030084,0.374895599120465,2.9098692618963,0.00361579973052845,0.0279375513972412
"ARHGAP21",2331.10724072637,0.68450132337499,0.206834340583909,3.3094181625865,0.000934900924635457,0.0112780891807995
"ARHGAP28",156.669042196428,0.959976935860252,0.271102172888826,3.54101527712181,0.000398590498593146,0.00632249743922275
"ARHGAP32",530.970642767959,1.36556134301977,0.340897505998233,4.00578273232322,6.18124472982154e-05,0.00181267950068221
"ARHGAP42",681.055172856602,0.64721802825608,0.219111154008729,2.95383423625389,0.00313852538284748,0.0254225275800684
"ARHGDIA",2332.85076823683,-0.55952581992558,0.189572337349774,-2.95151617449975,0.00316217984107815,0.0255517005173735
"ARHGEF1",5234.20518024119,0.623964658731751,0.210553592653134,2.96344816951032,0.00304213288941914,0.0249370087858529
"ARHGEF26",301.174799065358,1.36045786155635,0.385992124187939,3.52457414621741,0.000424164088294802,0.00662881633262291
"ARHGEF28",154.614414249717,1.02577092744157,0.378251533486637,2.71187513236561,0.00669037903390792,0.0425089388957143
"ARHGEF5",758.956503205362,1.31738992645922,0.439076617091702,3.0003645723272,0.00269656637125949,0.0230317809805585
"ARID1A",12726.8800094461,0.46371645750922,0.155887860675199,2.97467971848942,0.00293294596197878,0.024381840829476
"ARL13A",75.0583549570427,1.26166868318574,0.301367684836366,4.18647634324427,2.83318447202425e-05,0.00109911505494059
"ARL13B",769.393835792733,0.557874529836933,0.208580810393716,2.6746205884611,0.00748138650710197,0.0457438816868434
"ARL6IP4",551.061743422564,-0.568088293278997,0.171688710734407,-3.30882730057772,0.00093687607527421,0.0112780891807995
"ARL6IP6",542.282389074163,0.71150366530436,0.185382293211406,3.83803465249497,0.000124022983206155,0.00293041209426686
"ARMC10",868.499105495727,0.613148580203224,0.16415486135982,3.7351838082896,0.000187578129585089,0.00382887402442742
"ARMC6",346.285529591963,-0.489793573588703,0.172618615850473,-2.83743193731189,0.00454780418604568,0.0328227431209242
"ARPC1A",1593.3346419676,0.427264697654193,0.149742337409471,2.85333263154451,0.00432633105473952,0.0317584301836126
"ARR3",92.7645333223423,0.999466980844806,0.240740221554382,4.15164102779157,3.3009975041708e-05,0.00122426628499201
"ARSE",28.6727771294785,2.71714320627454,0.800592137154173,3.39391692745453,0.000689005897954271,0.00906382406604633
"ARSG",471.909746332021,0.834160759878236,0.278729903926871,2.99272072399196,0.00276502643854251,0.0233651355993497
"ASAH2B",176.866710201242,0.933577402002551,0.343987704600969,2.71398480095536,0.00664792162320228,0.0423748291983966
"ASB1",223.327610279443,-0.52095109283476,0.196049912829725,-2.65723705415376,0.00787840228950665,0.0473479453265657
"ASB14",133.329949568348,0.839659898932377,0.261191288619645,3.21473163737523,0.00130566524165016,0.0142079889058867
"ASB4",33.6570832942294,1.33884647604407,0.349650856071458,3.82909537556072,0.000128615158704246,0.00300006873889317
"ASGR1",35.0527992638538,1.44536465923159,0.433919282980894,3.3309528198479,0.000865492701375638,0.0107698221884345
"ASMTL",1615.01638629096,-0.634658212037368,0.1929853704791,-3.28863379883036,0.00100674919697698,0.0118320975200595
"ASNSD1",878.63142749074,0.495053518649681,0.158607129450882,3.1212564048263,0.00180081164453066,0.0175203966249129
"ASPN",650.643791264224,1.03261161730596,0.259283784059174,3.9825537916027,6.81786869879919e-05,0.00194611890276824
"ATAD3A",953.398978682234,-0.845181820289725,0.30188752618987,-2.79965797512997,0.00511567781685701,0.0353467068651243
"ATAD3B",976.05303410148,-0.860319325086519,0.270372262353682,-3.1819807165023,0.00146271557073225,0.0153098205880598
"ATAD3C",183.213338870949,1.46309807091066,0.418099461563731,3.49940194957089,0.000466303067737959,0.0070246300849557
"ATG16L1",1103.74097580374,-0.46014581600145,0.143797750309763,-3.19995142490215,0.00137450750846903,0.01467681924645
"ATIC",7094.47936590569,-0.518448977181096,0.183346517749507,-2.82770015784764,0.00468836963348106,0.0335022200901946
"ATP10B",156.743122572834,1.24478512003708,0.413813877031595,3.00807969265381,0.0026290418640628,0.0226124160195608
"ATP10D",989.933740931692,0.730264632522942,0.214202043639386,3.40923279776153,0.000651458614387816,0.00870828496855045
"ATP11B",6819.60404326959,0.684207515104974,0.171071472040324,3.99954186951579,6.34652194979165e-05,0.00183552050125304
"ATP2A3",7209.53170040192,-0.629567449890542,0.228398083951513,-2.75644803580837,0.0058432896528643,0.0387227684090899
"ATP2C2",53.9217624376252,1.54633326364088,0.561339591072055,2.75471976007905,0.00587424258278263,0.0388954227395424
"ATP5B",10316.1222443684,-0.491791537675757,0.165099789068686,-2.97875327672986,0.00289423721146696,0.0241485540954663
"ATP5D",128.443545035548,-0.852180476001499,0.221174240205381,-3.85298249565668,0.000116687735299721,0.00280297709695758
"ATP5H",1595.47548961642,-0.42603293275053,0.153595267371459,-2.77373736861436,0.0055416395996823,0.037331418567567
"ATP5HP4",770.640963528391,1.34837384642894,0.248128080456986,5.43418481272086,5.50475046581308e-08,2.91348092987267e-05
"ATP5I",1931.61287487152,-0.594006621346367,0.167059939430893,-3.55564968699205,0.000377046199295342,0.00610310947663267
"ATP5S",506.790776278153,0.573001236259859,0.16723584581721,3.42630632481839,0.000611849929626494,0.00833186379297554
"ATP5SL",202.671822558305,-0.611951490651644,0.216671226995541,-2.82433204970144,0.00473792719857004,0.0337500260470593
"ATP6V0A1",3642.69875412119,0.660516983648421,0.196088568105492,3.36846247606376,0.000755886855191821,0.00974977375039459
"ATP6V0C",518.600174752288,0.640943797485478,0.165409924531543,3.87488114332132,0.000106676754463264,0.00262606745328326
"ATP6V0E1",1753.10167261429,0.395192934962816,0.148661893383788,2.65833379333182,0.00785280736821776,0.0472656843792879
"ATP8B1",6689.39243573868,0.704822834906022,0.244180324088655,2.88648496776555,0.00389571356415354,0.0294833841618827
"ATP9A",340.902751167478,0.814209860077464,0.300415768045206,2.7102767120897,0.00672270963190566,0.0426631428998394
"ATRAID",899.75144667914,0.325449599350262,0.121125385683497,2.68688184160394,0.00721224607955694,0.044680469469842
